Handle,Title,Body (HTML),Vendor,Status,Tags,Published,SEO Title,SEO Description,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Country of Origin,HS Code
mercari-1,Apple iPhone14pro ディープパープル　128gb simフリー,"買い替えの為出品です。
お値下げも検討させていただきます

2022年9月〜2025年4月まで2年半ほど使用していました。
ケースをつけて使用していましたが、画面向かって左上の角に擦り傷あり。(写真4枚目を確認してください)
simフリー
バッテリー最大容量80%(2025年12月時点)
SIMフリー
アクティベーションロック解除、初期化済

ご購入後、1〜2日以内での発送を心がけますが、
仕事等の都合上、超過する場合もあります。
お急ぎの場合は事前に",Mercari,draft,,false,,,,,,,shopify,1,deny,manual,81598,true,false,http://esp-1-kend.onrender.com/media/mercari_1_0.jpg,1,,
mercari-1,,,,,,,,,,,,,,,,,,,,http://esp-1-kend.onrender.com/media/mercari_1_1.jpg,2,,
mercari-1,,,,,,,,,,,,,,,,,,,,http://esp-1-kend.onrender.com/media/mercari_1_2.jpg,3,,
mercari-1,,,,,,,,,,,,,,,,,,,,http://esp-1-kend.onrender.com/media/mercari_1_3.jpg,4,,
mercari-2,【ジャンク】Apple iPhone 14 Pro 1TB スペースブラック,"スペースブラックのiPhone 14 Pro1TBです。起動不可、ジャンク品です。2022年12月23日金曜日に購入、使用開始いたしました。突然起動できなくなり、iTunesからのアップデート及び復元もできませんでした。外装は画面割れありません。細かい傷のみです。部品取りなどにお使いください。

ノークレーム、ノーリターンでお願いします。

- モデル名: iPhone 14 Pro
- 色: スペースブラック
-付属品:1TB
- 状態: リカバリーモードから起動しない
- カメラ: トリプルカメラ
- 付属品: なし
- IMEI:355833866397461 
シリーズ···iPhone
機種名···iPhone 14 Pro

#ジャンク
#1TB
#Apple
#iPhone14Pro
もっと見る
37分前",Mercari,draft,,false,,,,,,,shopify,1,deny,manual,72000,true,false,http://esp-1-kend.onrender.com/media/mercari_2_0.jpg,1,,
mercari-2,,,,,,,,,,,,,,,,,,,,http://esp-1-kend.onrender.com/media/mercari_2_1.jpg,2,,
mercari-2,,,,,,,,,,,,,,,,,,,,http://esp-1-kend.onrender.com/media/mercari_2_2.jpg,3,,
mercari-2,,,,,,,,,,,,,,,,,,,,http://esp-1-kend.onrender.com/media/mercari_2_3.jpg,4,,
mercari-2,,,,,,,,,,,,,,,,,,,,http://esp-1-kend.onrender.com/media/mercari_2_4.jpg,5,,
mercari-2,,,,,,,,,,,,,,,,,,,,http://esp-1-kend.onrender.com/media/mercari_2_5.jpg,6,,
mercari-3,【SIMフリー】iPhone 14 Pro 128GB スペースブラック,"◾️商品説明
・Apple iPhone 14 Pro 128GB スペースブラックです。
・Appleにて発売日に新品購入しており、SIMフリー端末です。
・使用開始時からガラスフィルムとケースを付けて使用しておりましたで目立つ傷や汚れはありませんが、中古品であることをご理解いただいた上でのご購入をよろしくお願いします。
・初期化済
・バッテリー容量:76%

◾️同梱物
・本体
・付属品すべて

※写真に写っているものが全てです。
11分前",Mercari,draft,,false,,,,,,,shopify,1,deny,manual,78000,true,false,http://esp-1-kend.onrender.com/media/mercari_3_0.jpg,1,,
mercari-3,,,,,,,,,,,,,,,,,,,,http://esp-1-kend.onrender.com/media/mercari_3_1.jpg,2,,
mercari-3,,,,,,,,,,,,,,,,,,,,http://esp-1-kend.onrender.com/media/mercari_3_2.jpg,3,,
mercari-3,,,,,,,,,,,,,,,,,,,,http://esp-1-kend.onrender.com/media/mercari_3_3.jpg,4,,
mercari-3,,,,,,,,,,,,,,,,,,,,http://esp-1-kend.onrender.com/media/mercari_3_4.jpg,5,,
mercari-3,,,,,,,,,,,,,,,,,,,,http://esp-1-kend.onrender.com/media/mercari_3_5.jpg,6,,
mercari-3,,,,,,,,,,,,,,,,,,,,http://esp-1-kend.onrender.com/media/mercari_3_6.jpg,7,,
mercari-3,,,,,,,,,,,,,,,,,,,,http://esp-1-kend.onrender.com/media/mercari_3_7.jpg,8,,
mercari-3,,,,,,,,,,,,,,,,,,,,http://esp-1-kend.onrender.com/media/mercari_3_8.jpg,9,,
mercari-3,,,,,,,,,,,,,,,,,,,,http://esp-1-kend.onrender.com/media/mercari_3_9.jpg,10,,
mercari-3,,,,,,,,,,,,,,,,,,,,http://esp-1-kend.onrender.com/media/mercari_3_10.jpg,11,,
mercari-4,Apple iPhone 14 Pro シルバー 本体,"シルバーのiPhone 14 Pro、充電ケーブル付き。

- ブランド: Apple
- モデル名: iPhone 14Pro
- 色: シルバー
- 付属品: 充電ケーブル

画面のヒビはフィルムです。

比較的綺麗だと思います。

ご覧いただきありがとうございます。

値下げ承ります

シリーズ···iPhone

機種名···iPhone 14 Pro

スマートフォン カラー···シルバー

容量···128GB

機能不良···なし

付属品···充電ケーブル,箱
バッテリー最大容量···80～84％
もっと見る
2日前",Mercari,draft,,false,,,,,,,shopify,1,deny,manual,81600,true,false,http://esp-1-kend.onrender.com/media/mercari_4_0.jpg,1,,
mercari-4,,,,,,,,,,,,,,,,,,,,http://esp-1-kend.onrender.com/media/mercari_4_1.jpg,2,,
mercari-4,,,,,,,,,,,,,,,,,,,,http://esp-1-kend.onrender.com/media/mercari_4_2.jpg,3,,
mercari-4,,,,,,,,,,,,,,,,,,,,http://esp-1-kend.onrender.com/media/mercari_4_3.jpg,4,,
mercari-4,,,,,,,,,,,,,,,,,,,,http://esp-1-kend.onrender.com/media/mercari_4_4.jpg,5,,
mercari-4,,,,,,,,,,,,,,,,,,,,http://esp-1-kend.onrender.com/media/mercari_4_5.jpg,6,,
